Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
HATS-49 b,HATS-49,4.1480467,8.574885,112.19399,834.8,0.04515,0.071,4405,0.6977,0.7133
Kepler-37 d,Kepler-37,39.7922622,2.03,2,499,0.2109,0.1,5357,0.789,0.79
WASP-91 b,WASP-91,2.798581,11.54527,425.8922,1160,0.037,0,4920,0.86,0.84
TOI-532 b,TOI-532,2.3266508,5.82,61.5,867,0.0296,0,3927,0.612,0.639
HD 2685 b,HD 2685,4.12688,16.14096,371.8611,2061,0.0568,0.091,6801,1.56,1.43
TOI-5634 A b,TOI-5634 A,2.2035373,10.42,588,837,0.0272,0,3896,0.54,0.556
TOI-3912 b,TOI-3912,3.4936264,14.28024141,129.0383332,1512,0.0463,0,5725,1.392,1.088
TOI-4666 b,TOI-4666,2.9089168,12.44196858,222.4798849,713,0.0333,0,3512,0.59,0.58
TOI-4794 b,TOI-4794,3.5658116,14.35870428,308.2935548,1673,0.0492,0.1,6390,1.451,1.25
TOI-2570 b,TOI-2570,2.9887615,13.64132951,260.6192937,1431,0.04145,0,5771,1.095,1.063
TOI-1470 c,TOI-1470,18.08816,2.47,7.24,373,0.106,0.5,3709,0.469,0.471
HD 73583 c,HD 73583,18.87974,2.39,9.7,498,0.1242,0.08,4511,0.65,0.73
K2-18 b,K2-18,32.939623,2.37,8.92,284,0.1429,0.2,3457,0.411,0.359
TOI-530 b,TOI-530,6.387597,9.30345398,127.1313628,565,0.052,0,3659,0.54,0.53
TOI-5678 b,TOI-5678,47.73022,4.91,20,513,0.249,0.14,5485,0.938,0.905
TOI-2977 b,TOI-2977,2.3505614,13.15934334,533.9517238,1544,0.03386,0,5691,1.073,0.936
TOI-1438 b,TOI-1438,5.13967,3.04,9.4,971,0.0553,0,5230,0.82,0.876
K2-136 c,K2-136,17.30713,3,18.1,470,0.1185,0.047,4500,0.677,0.742
GJ 3473 b,GJ 3473,1.1980035,1.264,1.86,773,0.01589,0,3347,0.364,0.36
TOI-2818 b,TOI-2818,4.039709,15.27784069,225.658169,1376,0.0493,0,5721,1.229,0.977
TOI-4600 c,TOI-4600,482.8191,9.42,2946.269333,191,1.152,0.21,5170,0.81,0.89
K2-141 c,K2-141,7.7485,7,8,695,0.0683,0.092,4570,0.681,0.708
TOI-2497 b,TOI-2497,10.655669,11.14172682,1531.932922,1595,0.1166,0.195,7360,2.36,1.859
KOI-94 b,KOI-94,3.743208,1.71,10.5,1486,0.05119,0.25,6182,1.52,1.277
HATS-33 b,HATS-33,2.5495551,13.78707,378.85336,1429,0.03727,0.08,5659,1.022,1.062
HAT-P-70 b,HAT-P-70,2.74432452,20.96083,2154.8874,2562,0.04739,0,8450,1.858,1.89
TOI-6628 b,TOI-6628,18.18424,10.98480109,235.1930212,833,0.134,0.67,5463,1.01,0.97
K2-167 b,K2-167,9.97748,2.3,6.5,1174,0.091,0.47,6011,1.494,1.01
TOI-1824 b,TOI-1824,22.808533,2.7438269,16,528.67,0.151,0,5165,0.8123,0.8801
TOI-1452 b,TOI-1452,11.06201,1.672,4.82,326,0.061,0,3185,0.275,0.249
TOI-5027 b,TOI-5027,10.24368,10.76062147,642.0133821,1056,0.093,0.385,5909,0.92,1.02
HAT-P-68 b,HAT-P-68,2.29840551,12.016048,230.10892,1027.8,0.02996,0.041,4508,0.6701,0.6785
WASP-151 b,WASP-151,4.533471,12.66617,98.5273,1290,0.055,0.003,5871,1.14,1.077
Kepler-425 b,Kepler-425,3.79701816,10.962,79.45,1070,0.0464,0.33,5170,0.86,0.93
TOI-157 b,TOI-157,2.0845435,14.414774,375.0394,1588,0.03138,0,5404,1.167,0.948
TOI-2141 b,TOI-2141,18.26157,3.05,24,722,0.133,0.21,5659,0.98,0.94
TOI-1194 b,TOI-1194,2.310644,8.5972882,144.9297536,1391,0.03428,0.076,5446,0.963,1.007
WASP-113 b,WASP-113,4.542168745,15.793481,150.96925,1496,0.05885,0,5890,1.608,1.318
TOI-654.01,TOI-654,1.527561,2.378,8.71,794,0.01944,0,3521,0.43,0.419
WASP-54 b,WASP-54,3.6936411,18.528,202.131,1759,0.04987,0.067,6100,1.828,1.213
K2-140 b,K2-140,6.569188,13.56286665,295.5804185,962,0.068,0,5585,1.06,0.96
TOI-2000 b,TOI-2000,3.09833,2.7,11,1488,0.04271,0,5611,1.134,1.082
TOI-406.01,TOI-406,13.175682,2.08,6.57,368,0.0809,0.056,3392,0.41,0.408
Kepler-428 b,Kepler-428,3.52563254,12.11,403.63,1070,0.0433,0.22,5150,0.8,0.87
