Planet,Host Star,Orbital Period (days),Planet Radius (Earth radii),Planet Mass (Earth masses),Equilibrium Temp (K),Semi-Major Axis (AU),Eccentricity ,Stellar Temp (K),Stellar Radius (Solar radii) , Stellar Mass (Solar masses) 
HAT-P-20 b,HAT-P-20,2.875316938,11.489225,2294.7326,964,0.03593,0.0172,4595,0.6796,0.742
WASP-43 b,WASP-43,0.813473978,11.276254,635.02434,1426.7,0.01504,0,4500,0.6506,0.688
WASP-78 b,WASP-78,2.175173,23.09054,273.3338,2469.7,0.0367,0,6100,2.35,1.39
K2-113 b,K2-113,5.817608,10.42437,410.0007,1178,0.0558,0,5627,1.047,1.007
WASP-139 b,WASP-139,5.924262,8.9672,37.18611,910,0.062,0,5310,0.8,0.92
TOI-1246 e,TOI-1246,37.92548,3.5141875,14.5,463.98,0.212,0,5213,0.8649,0.8889
TOI-6894 b,TOI-6894,3.37077196,9.5836785,53.39517238,417.9,0.02604,0.029,3007,0.2276,0.207
K2-3 b,K2-3,10.0546535,2.078,5.11,501.3,0.0747,0.107,3844,0.546,0.549
KELT-14 b,KELT-14,1.7100588,17.03768,380.12468,1904,0.02956,0,5802,1.368,1.178
WASP-104 b,WASP-104,1.7554137,12.745,404.263,1516,0.02918,0,5475,0.963,1.076
WASP-94 A b,WASP-94 A,3.9501907,19.28,143.653,1604,0.055,0.13,6153,1.62,1.45
TOI-2134 b,TOI-2134,9.2292005,2.69,9.13,666,0.078,0.06,4580,0.709,0.744
V1298 Tau b,V1298 Tau,24.140006,9.41,13.1,666,0.1685,0.0079,4970,1.32,1.1
K2-290 b,K2-290,9.21165,3.06,10.9,1230,0.0923,0,6302,1.511,1.194
HD 95338 b,HD 95338,55.087,3.89,42.44,385,0.262,0.197,5212,0.87,0.83
LHS 1903 b,LHS 1903,2.1555098,1.382,3.28,796,0.02656,0.015,3664,0.539,0.538
HIP 9618 c,HIP 9618,52.563491,3.343,18.3,486.9,0.2669,0.23,5609,0.9662,1.022
WASP-20 b,WASP-20,4.8996284,16.388,98.841,1379,0.06,0,5940,1.392,1.2
K2-199 b,K2-199,3.2253993,1.73,6.9,913,0.0382,0.02,4491,0.682,0.711
TOI-1238 b,TOI-1238,0.764597,1.21,3.76,1133,0.0139,0.25,4089,0.58,0.59
TOI-1238 c,TOI-1238,3.294736,2.11,8.32,695,0.037,0.15,4089,0.58,0.59
TOI-7510 d,TOI-7510,48.864468,10.52,190,542.4,0.2672,0.04,5720,1.035,1.063
HAT-P-15 b,HAT-P-15,10.863502,12.016,618.471,904,0.0964,0.19,5568,1.08,1.013
WASP-62 b,WASP-62,4.41194,15.02006,184.3414,1475.3,0.0571,0,6230,1.29,1.28
WASP-69 b,WASP-69,3.8681382,11.847913,82.6358,963,0.04525,0,4700,0.813,0.826
HAT-P-18 b,HAT-P-18,5.508023,11.153,62.61,852,0.0559,0.084,4803,0.749,0.77
HAT-P-19 b,HAT-P-19,4.008778,12.689,92.802,1010,0.0466,0.067,4990,0.82,0.842
HAT-P-23 b,HAT-P-23,1.212884,15.334,664.237,2056,0.0232,0.106,5905,1.203,1.13
WASP-34 b,WASP-34,4.3176782,13.675,187.51,1250,0.0524,0.038,5700,0.93,1.01
LHS 1903 d,LHS 1903,12.566287,2.5,5.96,442,0.08604,0.112,3664,0.539,0.538
TOI-375 b,TOI-375,9.45469,10.77183045,236.7821632,1373,0.099,0.087,5259.9,2.9,1.441
TOI-1246 d,TOI-1246,18.654874,3.43139739,5.4,587.77,0.132,0,5213,0.8649,0.8889
HATS-11 b,HATS-11,3.6191613,16.92559,270.1555,1637,0.04614,0.34,6060,1.444,1
AU Mic b,AU Mic,8.463,4.07,17,593,0.0645,0,3700,0.75,0.5
WASP-140 b,WASP-140,2.2359835,16.14096,775.5052,1320,0.0323,0.047,5260,0.87,0.9
Qatar-1 b,Qatar-1,1.42002504,13.22662,422.7139,1389,0.02343,0,4910,0.8,0.85
KELT-16 b,KELT-16,0.9689951,15.860735,874.0325,2453,0.02044,0,6236,1.36,1.211
KELT-9 b,KELT-9,1.4811235,21.196219,915.3504,4050,0.03462,0,10170,2.362,2.52
WASP-107 b,WASP-107,5.72149,10.53646,38.1396,770,0.055,0,4430,0.66,0.69
Kepler-68 b,Kepler-68,5.39875259,2.357,8.03,1275,0.06135,0.09,5847,1.2564,1.057
WASP-52 b,WASP-52,1.7497798,14.24,146.2,1315,0.0272,0,5000,0.79,0.87
WASP-64 b,WASP-64,1.5732918,14.247,403.945,1689,0.02648,0,5400,1.058,1.004
WASP-65 b,WASP-65,2.3114243,12.464,492.62,1480,0.0334,0,5600,1.01,0.93
WASP-75 b,WASP-75,2.484193,14.235,340.06,1710,0.0375,0,6100,1.26,1.14
TOI-6695 b,TOI-6695,80.389,9.52763359,66.74396547,599,0.402,0.04,6400,1.517,1.338
MASCARA-1 b,MASCARA-1,2.14878,16.8135,1175.971,2570,0.043,0,7554,2.1,1.72
WASP-131 b,WASP-131,5.322023,13.67498,85.8141,1460,0.0607,0,6030,1.53,1.06
KELT-20 b,KELT-20,3.474119,20.51247,5403.11,2260,0.057,0,8980,1.6,1.89
HAT-P-2 b,HAT-P-2,5.6334729,12.969,2888.95,1540,0.06878,0.5171,6290,1.64,1.36
WASP-74 b,WASP-74,2.13775,17.48604,301.9385,1910,0.037,0,5970,1.64,1.48
HATS-36 b,HATS-36,4.1752387,13.843115,1022.14128,1356,0.05425,0.105,6149,1.155,1.222
TOI-4495 b,TOI-4495,2.56699,2.483,7.7,1735,0.03957,0.078,6210,1.309,1.247
HAT-P-14 b,HAT-P-14,4.627669,12.89,709.367,1570,0.0606,0.107,6600,1.468,1.386
TOI-4495 c,TOI-4495,5.18553,4.03,23.2,1365,0.06323,0.023,6210,1.309,1.247
WASP-11 b,WASP-11,3.722465,10.20019,168.4499,960,0.043,0,4800,0.74,0.77
LHS 1903 c,LHS 1903,6.226185,2.046,4.55,559,0.05387,0.089,3664,0.539,0.538
TOI-2019 b,TOI-2019,15.3444,5.33275337,34.4,917.46,0.128,0,5626,1.7457,1.1832
TOI-1410.01,TOI-1410,1.21687,3.10083009,12.5,1236.7,0.0207,0,4635,0.7558,0.7941
TOI-283 b,TOI-283,17.61745,2.34,6.54,661,0.123,0,5213,0.85,0.8
WASP-175 b,WASP-175,3.0652907,13.540472,314.6517,1571,0.04403,0,6229,1.204,1.212
WASP-164 b,WASP-164,1.7771255,12.643752,676.9779,1610,0.02818,0,5806,0.932,0.946
HD 207496 b,HD 207496,6.441008,2.25,6.1,743,0.0629,0.231,4819,0.769,0.8
TOI-1807 b,TOI-1807,0.54937097,1.49681583,2.44,1694.1,0.0122,0,4914,0.746,0.8048
TOI-1801 b,TOI-1801,10.643985,1.96061882,16,431.03,0.075,0,3748,0.5128,0.5051
WASP-182 b,WASP-182,3.3769848,9.52765,47.03884,1479,0.0451,0,5638,1.34,1.076
TOI-4201 b,TOI-4201,3.5819134,12.66614819,816.819006,750,0.03924,0.083,3926,0.616,0.626
HD 332231 b,HD 332231,18.71204,9.718203,77.55052,876,0.1436,0.032,6089,1.277,1.127
TOI-125 c,TOI-125,9.15059,2.759,6.63,827.8,0.0814,0.066,5320,0.848,0.859
HAT-P-65 b,HAT-P-65,2.6054552,21.18501,167.49641,1930,0.03951,0.304,5835,1.86,1.212
HATS-6 b,HATS-6,3.3252725,11.186582,101.38777,712.8,0.03623,0,3724,0.57,0.574
TOI-837 b,TOI-837,8.3249102,9.71,116,1022,0.083,0,6000,1.036,1.109
K2-199 c,K2-199,7.3744897,2.85,12.4,694,0.0662,0.03,4491,0.682,0.711
WASP-84 b,WASP-84,8.5234865,10.559,220.565,797,0.0771,0,5314,0.748,0.842
HATS-5 b,HATS-5,4.763387,10.223,75.323,1025,0.0542,0.019,5304,0.871,0.936
TOI-4127 b,TOI-4127,56.39879,12.28504285,731.0053361,605.1,0.3081,0.7471,6096,1.293,1.23
TOI-5110 b,TOI-5110,30.158577,11.98240037,921.7023803,976,0.2157,0.745,6160,2.333,1.469
Wendelstein-1 b,Wendelstein-1,2.663416,11.5609626,188.15536,2198,0.0282,0.012,4251,0.61,0.65
HAT-P-42 b,HAT-P-42,4.641878,14.348,331.801,1428,0.0575,0,5743,1.53,1.178
TOI-2364 b,TOI-2364,4.0197517,8.60849718,71.51139158,1091,0.04871,0,5306,0.886,0.954
HATS-26 b,HATS-26,3.3023881,19.61575,206.5895,1918,0.04735,0.245,6071,2.04,1.299
TOI-1899 b,TOI-1899,29.02,12.89035,209.7678,362,0.1587,0.118,3841,0.607,0.627
HAT-P-9 b,HAT-P-9,3.92289,15.69,247.9,1530,0.053,0,6350,1.32,1.28
HD 136352 c,HD 136352,27.59221,2.916,11.24,677,0.1721,0,5664,1.058,0.87
HD 28109 c,HD 28109,56.00819,4.23,7.943,585.2,0.308,0.1203,6120,1.446,1.26
TOI-1478 b,TOI-1478,10.180249,11.88154,270.47333,918,0.0903,0.024,5597,1.048,0.947
Kepler-10 b,Kepler-10,0.8374907,1.47,3.26,2188,0.01685,0,5708,1.065,0.91
WASP-194 b,WASP-194,3.183387,15.47960235,373.1305498,1693,0.047,0,6405,1.409,1.29
TOI-1117 b,TOI-1117,2.22816,2.46,8.9,1538,0.033,0,5635,1.05,0.97
HATS-42 b,HATS-42,2.292102,15.6926,597.5204,1856,0.03689,0.229,6060,1.48,1.273
TOI-1742 b,TOI-1742,21.269084,2.36507598,9.7,694.09,0.154,0.3,5815,1.131,1.0861
K2-216 b,K2-216,2.1748,1.75,8,1103,0.028,0,4503,0.72,0.7
TOI-4214 b,TOI-4214,3.4913885,10.68215861,165.2707716,1642,0.05018,0.17,6370,1.434,1.382
TOI-1694 b,TOI-1694,3.770107,5.3422266,31.3,943.19,0.045,0,5058,0.8036,0.853
LTT 1445 A c,LTT 1445 A,3.1239035,1.147,1.54,508,0.02661,0.223,3340,0.265,0.257
KELT-24 b,KELT-24,5.55149,15.24421375,1334.879309,1473,0.067,0.05,6415,1.52,1.3
TOI-1685 b,TOI-1685,0.6691416,1.459,3.43,1052,0.011557,0,3461,0.459,0.46
TOI-1691 b,TOI-1691,16.7369,3.56505068,14.6,703.49,0.126,0,5642,1.009,0.9581
HATS-40 b,HATS-40,3.2642736,17.71022,505.3497,2101,0.04997,0.312,6460,2.26,1.561
TOI-1798.01,TOI-1798,8.02154,2.38506569,6.5,734.31,0.074,0,5106,0.7911,0.8543
TOI-733 b,TOI-733,4.884765,1.992,5.72,1055.8,0.0618,0.046,5585,0.949,0.956
Qatar-6 b,Qatar-6,3.506195,11.903958,212.31044,1006,0.0423,0,5052,0.722,0.822
WASP-132 c,WASP-132,1.01153624,1.841,6.26,1329,0.01833,0,4686,0.758,0.789
TOI-260 b,TOI-260,13.475815,1.47291596,3.3,438.59,0.091,0,4050,0.5468,0.5485
K2-419 A b,K2-419 A,20.35847252,10.55,196,377,0.1208,0.042,3711,0.541,0.562
TOI-5795 b,TOI-5795,6.1406325,5.62,23.66,1136.78,0.064,0.25,5715,1.082,0.901
TOI-169 b,TOI-169,2.2554477,12.172974,251.40353,1715,0.03524,0,5880,1.288,1.147
TOI-2076 b,TOI-2076,10.355096,2.77062554,16.1,687.68,0.088,0,5192,0.796,0.8557
WASP-117 b,WASP-117,10.02165,11.444,87.5585,1001,0.09459,0.302,6038,1.17,1.129
HATS-16 b,HATS-16,2.686502,14.5717,1039.3041,1592,0.03744,0,5738,1.238,0.97
HD 191939 b,HD 191939,8.88029,3.39,10.4,893,0.078,0,5348,0.94,0.81
HD 191939 c,HD 191939,28.5805,3.08,7.2,605,0.17,0,5348,0.94,0.81
HD 191939 d,HD 191939,38.3525,3.04,5.8,549,0.207,0,5348,0.94,0.81
TOI-1246 c,TOI-1246,5.904137,2.45109846,9.1,862.49,0.061,0,5213,0.8649,0.8889
HATS-13 b,HATS-13,3.0440499,13.585308,172.58169,1244,0.04057,0.181,5523,0.887,0.962
K2-237 b,K2-237,2.1805577,18.405178,392.83788,1838,0.0353,0,6099,1.38,1.23
HATS-15 b,HATS-15,1.74748753,12.385945,689.6911,1505,0.02712,0.126,5311,0.922,0.871
TOI-2076 c,TOI-2076,21.015327,3.69441587,55,543.16,0.142,0,5192,0.796,0.8557
TOI-2076 d,TOI-2076,35.125686,3.43087751,29,457.68,0.199,0,5192,0.796,0.8557
TOI-836 b,TOI-836,3.81673,1.704,4.53,871,0.0422,0.053,4552,0.665,0.678
TOI-1203 b,TOI-1203,4.1572888,1.52,3.51,1361.2,0.04869,0.067,5737,1.179,0.886
TOI-1203.01,TOI-1203,25.502672,2.918,7.39,743.6,0.1632,0.032,5737,1.179,0.886
WASP-93 b,WASP-93,2.7325321,17.900773,467.2101,1942,0.04211,0,6700,1.524,1.334
HAT-P-55 b,HAT-P-55,3.5852467,13.249038,184.97706,1313,0.04604,0.139,5808,1.011,1.013
TOI-4600 b,TOI-4600,82.6869,6.8,959.8417891,347,0.349,0.25,5170,0.81,0.89
TOI-181 b,TOI-181,4.532,6.9559,46.1687,895.1,0.0539,0.1543,4994,0.745,0.822
GJ 9827 c,GJ 9827,3.648096,1.241,1.3,813,0.03925,0.094,4305,0.602,0.606
HIP 65 A b,HIP 65 A,0.9809734,22.75427,1021.18779,1411,0.01782,0,4590,0.7242,0.781
TOI-1472 b,TOI-1472,6.36381,4.15964583,16.5,811.14,0.065,0,5133,0.8377,0.9154
TOI-2128 b,TOI-2128,16.34136,2.08874836,4.5,780.53,0.127,0,5968,1.1174,1.0251
TOI-2449 b,TOI-2449,106.14468,11.24,222,400,0.45,0.098,6021,1.065,1.079
TOI-3856 b,TOI-3856,2.04360352,13.59649359,171.6273398,1544,0.0325,0.083,5622,1.055,1.096
HATS-1 b,HATS-1,3.446459,14.594,589.55,1359,0.0444,0.12,5870,1.038,0.986
NGTS-21 b,NGTS-21,1.5433897,14.90794433,750.0750405,1357,0.0236,0,4660,0.86,0.72
TOI-2295 b,TOI-2295,30.033302,16.47720163,278.0998561,747,0.1992,0.334,5730,1.459,1.168
TOI-2031 A b,TOI-2031 A,5.71548654,14.20177855,254.2627256,1358,0.066,0.076,6490,1.241,1.174
HD 21520 b,HD 21520,25.1292,2.697,17.7,637,0.1726,0,5871,1.044,1.09
HAT-P-37 b,HAT-P-37,2.797436,13.204,371.528,1271,0.0379,0.058,5500,0.877,0.929
Kepler-43 b,Kepler-43,3.024095,13.45,1026.55,1637,0.0449,0.025,6041,1.42,1.32
K2-285 e,K2-285,14.76289,1.95,10.7,500.9,0.18041,0,4975,0.787,0.83
TOI-2986 b,TOI-2986,3.2783662,9.292245,96.61983573,1622,0.04489,0.14,5906,1.458,1.122
TOI-756 b,TOI-756,1.2392495,2.81,9.83,934,0.018,0,3657,0.505,0.505
TOI-1601 b,TOI-1601,5.331751,13.887951,314.6517,1619,0.06864,0.036,5948,2.186,1.517
HD 110113 b,HD 110113,2.541,2.05,4.55,1371,0.035,0.093,5732,0.968,0.997
TOI-1273 b,TOI-1273,4.631296,11.09689089,70.55790635,1211,0.0549,0.055,5690,1.06,1.06
TOI-1266 b,TOI-1266,10.8945,2.52,4.46,415,0.073,0.039,3563,0.4232,0.437
TOI-132 b,TOI-132,2.1097019,3.42,22.4,1395,0.026,0.059,5397,0.9,0.97
TOI-2207 b,TOI-2207,8.001968,11.1529358,203.4101805,1259,0.0854,0.174,6101,1.564,1.296
TRAPPIST-1 b,TRAPPIST-1,1.51087081,1.086,0.85,400.1,0.01111,0.081,2559,0.117,0.0802
WASP-72 b,WASP-72,2.2167421,14.24,491.3763,2210,0.03708,0,6250,1.98,1.386
K2-290 c,K2-290,48.36685,11.276254,246.00042,676,0.305,0,6302,1.511,1.194
WASP-19 b,WASP-19,0.78883852,15.86070769,366.7739817,2113,0.01652,0.0126,5616,1.006,0.965
K2-79 b,K2-79,10.9947,4.09,9.2,1022,0.0988,0.23,5897,1.265,1.066
K2-222 b,K2-222,15.38857,2.35,8.7,871,0.1206,0.16,5942,1.115,0.989
XO-3 b,XO-3,3.19152309,14.79585452,4217.582961,1890,0.04815,0.2791,6970,1.523,1.449
TOI-220 b,TOI-220,10.695264,3.03,13.8,805,0.08911,0.032,5298,0.858,0.825
WASP-99 b,WASP-99,5.75251,12.33,883.53,1480,0.0717,0,6180,1.76,1.48
WASP-5 b,WASP-5,1.6284279,12.184,502.15,1706,0.0267,0.038,5700,1.029,0.96
WASP-114 b,WASP-114,1.5487743,15.008851,562.24127,2043,0.02851,0.012,5940,1.43,1.289
WASP-12 b,WASP-12,1.0914203,21.2971,467.2101,2580,0.0234,0,6360,1.657,1.434
NGTS-6 b,NGTS-6,0.882059,14.863134,425.57437,1283.9,0.01677,0,4730,0.754,0.767
WD 1856+534 b,WD 1856+534,1.4079405,10.4,4386.054,163,0.0204,0,4710,0.0131,0.518
HAT-P-60 b,HAT-P-60,4.7947813,18.28184752,182.4335056,1772,0.06277,0.25,6212,2.197,1.435
TOI-3474 b,TOI-3474,3.8795105,14.67255574,193.8753283,1451,0.0502,0.13,6020,1.256,1.121
HD 63433 b,HD 63433,7.1079384,2.16351593,37.3,886.44,0.072,0,5634,0.9169,0.9883
NGTS-18 b,NGTS-18,3.05125,13.56286665,129.9918185,1381,0.0448,0,5610,1.392,1.003
K2-180 b,K2-180,8.8665,2.24179614,11.44182265,729,0.075,0,5110,0.69,0.71
TOI-836.01,TOI-836,8.59545,2.587,9.6,665,0.075,0.078,4552,0.665,0.678
WASP-195 b,WASP-195,5.051928,10.31226224,33.05415433,1522,0.063,0,6300,1.578,1.3
TOI-469.01,TOI-469,13.630828,3.42633318,5.9,703.39,0.11,0,5323,0.9839,0.9452
TOI-4336 A b,TOI-4336 A,16.336351,2.137,3.33,309.4,0.0849,0,3307,0.326,0.306
TOI-4336 A c,TOI-4336 A,7.587266,1.251,1.55,399.5,0.05092,0,3307,0.326,0.306
TOI-4342 b,TOI-4342,5.5382592,2.329,7.3,639,0.0519,0,3866,0.598,0.587
TOI-4342 c,TOI-4342,10.688662,2.349,4.8,514,0.0804,0,3866,0.598,0.587
L 168-9 b,L 168-9,1.40152604,1.63,4.07,998,0.0208,0,3842,0.604,0.614
TOI-564 b,TOI-564,1.651144,11.43318,464.98529,1714,0.02734,0.072,5640,1.088,0.998
TOI-1347 c,TOI-1347,4.841968,1.67761121,9,950.08,0.0546,0,5493,0.8401,0.9279
HAT-P-57 b,HAT-P-57,2.465295,15.838317,587.9855,2200,0.0406,0,7500,1.5,1.47
TOI-2134 c,TOI-2134,95.5,7.27,41.89,306,0.371,0.67,4580,0.709,0.744
TOI-1130 c,TOI-1130,8.350231,13.32,325.69,497.7,0.07191,0.0457,4350,0.695,0.712
TOI-2886 b,TOI-2886,1.60200105,18.6405349,444.9597698,1978,0.02871,0.11,6240,1.241,1.229
LP 791-18 c,LP 791-18,4.9899093,2.438,7.1,324.4,0.02961,8.00E-05,2960,0.182,0.139
LP 791-18 d,LP 791-18,2.753436,1.032,0.9,395.5,0.01992,0.0015,2960,0.182,0.139
TOI-1898 b,TOI-1898,45.52234,9.39553231,129,674.54,0.269,0.485,6241,1.6131,1.2484
TIC 257060897 b,TIC 257060897,3.66003639,17.26183028,201.50321,1775,0.04922,0.039,5993,1.863,1.187
V1298 Tau c,V1298 Tau,8.249164,5.08,4.7,953,0.0824,0.0094,4970,1.32,1.1
V1298 Tau d,V1298 Tau,12.401394,6.53,6,831,0.1081,0.0087,4970,1.32,1.1
V1298 Tau e,V1298 Tau,48.677714,10.17,15.3,527,0.2689,0.0124,4970,1.32,1.1
LHS 1903 e,LHS 1903,29.31773,1.732,5.79,333,0.15135,0.014,3664,0.539,0.538
Kepler-45 b,Kepler-45,2.455239,10.76,160.497,1000,0.03,0.11,3820,0.55,0.59
HD 106315 b,HD 106315,9.55237,2.44,12.6,1153,0.0907,0.093,6327,1.296,1.091
HD 106315 c,HD 106315,21.05704,4.35,15.2,886,0.1536,0.22,6327,1.296,1.091
WASP-189 b,WASP-189,2.724033,18.14733975,632.4785299,3353,0.05053,0,8000,2.36,2.03
Gliese 12 b,Gliese 12,12.761408,0.958,3.87,314.6,0.0668,0.5,3296,0.2617,0.2414
HAT-P-7 b,HAT-P-7,2.204737,15.043,564.442,2733,0.0377,0,6532.23,1.99356,1.347
HAT-P-51 b,HAT-P-51,4.2180278,14.493237,98.20947,1192,0.05069,0.123,5449,1.041,0.976
TOI-1130 b,TOI-1130,4.07445,3.56,19.28,632.17,0.04457,0.0541,4350,0.695,0.712
K2-3 d,K2-3,44.55603,1.458,2.2,305.2,0.2014,0.091,3844,0.546,0.549
TOI-5301 b,TOI-5301,5.858857,13.5292397,1080.616584,1682,0.06975,0.337,6240,2.19,1.483
K2-266 d,K2-266,14.697,2.93,8.9,538.3,0.1035,0.047,4285,0.703,0.686
K2-261 b,K2-261,11.6334681,9.26982704,68.96876432,1036,0.1086,0.274,5490,1.663,1.107
TOI-3714 b,TOI-3714,2.15484802,11.14172682,218.9837724,764,0.0263,0.047,3652,0.4958,0.522
TOI-1855 b,TOI-1855,1.36414864,18.49481816,360.0995851,1701,0.02398,0.033,5359,1.041,0.987
TOI-5882 b,TOI-5882,7.148973,11.83668362,7720.052006,1537,0.08445,0.0332,6060,2.334,1.549
WASP-141 b,WASP-141,3.310651,13.56289,854.9627,1540,0.0469,0,5900,1.37,1.25
TOI-5398 b,TOI-5398,10.590547,10.3,58.7,947,0.098,0.13,6000,1.051,1.146
TOI-4153 b,TOI-4153,4.6174141,16.11851425,365.5026681,1669,0.06311,0.039,6860,1.605,1.572
HD 97658 b,HD 97658,9.4903,2.247,7.55,757,0.08,0.078,5170,0.741,0.77
HD 118203 b,HD 118203,6.134989,12.55405838,693.5015841,1371,0.0701,0.301,5788,2.03,1.22
HATS-31 b,HATS-31,3.37796,18.38276,279.6904,1823,0.0478,0.233,6050,1.87,1.275
TOI-1136 g,TOI-1136,39.5387,2.53,12.2,574,0.23,0,5805,0.9573,1.0404
TOI-1062 b,TOI-1062,4.11296,2.265,10.15,1077,0.052,0.177,5328,0.84,0.94
Kepler-10 c,Kepler-10,45.294301,2.355,11.4,578,0.241,0.13,5708,1.065,0.91
TOI-1347 b,TOI-1347,0.84742431,1.81434694,12.2,1698.5,0.0171,0,5493,0.8401,0.9279
K2-39 b,K2-39,4.60497,5.71,39.8,1670,0.0574,0.152,4912,2.93,1.192
TOI-1736 b,TOI-1736,7.073088,2.44,12.8,1076,0.074,0.21,5807,1.15,1.08
HD 219134 b,HD 219134,3.092926,1.602,4.74,1015,0.03876,0,4699,0.778,0.81
HD 219134 c,HD 219134,6.76458,1.511,4.36,782,0.0653,0.062,4699,0.778,0.81
HAT-P-67 b,HAT-P-67,4.8101025,23.370765,108.0622,1903,0.06505,0,6406,2.546,1.642
TOI-5076 b,TOI-5076,23.443162,3.48935569,16.14568308,550,0.1481,0,4780,0.844,0.789
WASP-116 b,WASP-116,6.6132,13.67495645,203.4101805,1414,0.065,0,6250,1.426,1.25
TOI-1272 b,TOI-1272,3.31599,4.13204907,27,975,0.0417,0.35,5065,0.7934,0.8772
HATS-62 b,HATS-62,3.2768837,11.825495,56.89157,1237,0.04163,0.298,5416,0.933,0.896
HATS-68 b,HATS-68,3.5862202,13.809488,410.0007,1741,0.05071,0.036,6147,1.748,1.351
WASP-57 b,WASP-57,2.838971,10.267,213.573,1251,0.0386,0,5600,0.836,0.954
Kepler-426 b,Kepler-426,3.21751883,12.22,108.06,1300,0.0414,0.18,5725,0.92,0.91
TOI-1749 d,TOI-1749,9.0497,2.52,15,533,0.0707,0.062,3985,0.55,0.58
TOI-640 b,TOI-640,5.0037775,19.851139,279.6904,1749,0.06608,0.05,6460,2.082,1.536
TOI-2346 b,TOI-2346,3.3312029,16.11851425,394.1072247,1689,0.0473,0.086,6480,1.38,1.271
HAT-P-62 b,HAT-P-62,2.6453235,12.02723629,241.8674177,1512,0.03772,0.101,5629,1.17,1.023
TOI-1298 b,TOI-1298,4.537143,9.65807033,99,1278,0.057,0,5752,1.4536,1.2187
TOI-1836 b,TOI-1836,20.380845,8.28055741,24.7,889.51,0.157,0,6237,1.6454,1.2518
CoRoT-12 b,CoRoT-12,2.828042,16.14,291.438,1442,0.04016,0.07,5675,1.116,1.078
K2-30 b,K2-30,4.09849,11.982421,187.20187,1203,0.0419,0.08,5575,0.839,0.917
HATS-3 b,HATS-3,3.547851,15.48,340.382,1648,0.0485,0,6351,1.404,1.209
TOI-3568 b,TOI-3568,4.417965,5.3,26.4,899,0.0485,0.035,4969,0.719,0.78
TOI-150.01,TOI-150,5.857487,14.067295,797.7533,1404.5,0.07037,0.262,6255,1.526,1.351
TOI-1836 c,TOI-1836,1.7727471,2.59987579,8,2007.6,0.03089,0,6237,1.6454,1.2518
HATS-61 b,HATS-61,7.817953,13.394755,1080.622,1226.1,0.07908,0.092,5542,1.664,1.076
HR 858 c,HR 858,5.973865,1.979,3.8,1309,0.0687,0,6354,1.258,1.204
TOI-216.02,TOI-216,17.089,7.69,30,628,0.1293,0.132,5026,0.838,0.874
TOI-1470 b,TOI-1470,2.527093,2.18,7.32,734,0.0285,0.3,3709,0.469,0.471
TOI-1518 b,TOI-1518,1.902603,21.01683881,731.0053361,2492,0.0389,0.01,7300,1.95,1.79
TOI-2145 b,TOI-2145,10.26075,11.98240037,1671.777421,1484,0.1108,0.208,6177,2.749,1.72
HD 25463 b,HD 25463,7.049144,2.62,8.5,1290,0.076,0,6220,1.41,1.19
WASP-149 b,WASP-149,1.332813,15.24421375,314.9679513,1855,0.024,0,5750,1.08,1.05
HIP 116454 b,HIP 116454,9.1004157,2.469,9.7,753.2,0.0792,0.215,5048,0.758,0.8
HD 183579 b,HD 183579,17.471278,3.55,19.7,769,0.1334,0.28,5788,0.985,1.031
TOI-5349 b,TOI-5349,3.317921,10.2,127.4,719,0.0369,0.03,3751,0.58,0.61
TOI-1776 b,TOI-1776,2.799868,1.21612741,1.4,1269.21,0.0378,0,5785,0.9356,0.9196
TOI-2421 b,TOI-2421,4.3474032,10.36830715,105.8368595,1534,0.0543,0,5607,1.75,1.131
HAT-P-36 b,HAT-P-36,1.327347,14.168,582.24,1823,0.0238,0.063,5560,1.096,1.022
TOI-6054.01,TOI-6054,7.501428,2.64,12.5,1360,0.0763,0.164,6047,1.662,1.107
WASP-190 b,WASP-190,5.367753,12.89035,317.83,1500,0.0663,0,6400,1.6,1.35
Wolf 327 b,Wolf 327,0.5734745,1.24,2.53,996,0.01,0,3542,0.406,0.405
TOI-4137 b,TOI-4137,3.8016122,13.57407563,457.6729061,1570,0.05222,0,6202,1.438,1.313
HIP 97166 b,HIP 97166,10.28891,2.74,20,757,0.089,0.16,5198,0.836,0.898
TOI-3629 b,TOI-3629,3.936551,8.29464572,82.63538582,690,0.043,0.05,3870,0.6,0.63
HATS-30 b,HATS-30,3.1743516,13.170575,224.38798,1414,0.04354,0.096,5943,1.061,1.093
TOI-561 c,TOI-561,10.778831,2.91,5.39,800,0.0884,0.03,5372,0.843,0.806
TOI-4562 b,TOI-4562,225.11781,12.53,732,318,0.768,0.76,6096,1.152,1.192
K2-136 b,K2-136,7.9752,1.014,4.3,610,0.0707,0.14,4500,0.677,0.742
TOI-5800 b,TOI-5800,2.6278838,2.46,9.5,1108,0.0344,0.3,4850,0.773,0.778
HATS-18 b,HATS-18,0.8378434,14.986433,629.3034,2060,0.01761,0.166,5600,1.02,1.037
WASP-133 b,WASP-133,2.176423,13.56289,368.6828,1790,0.0345,0.17,5700,1.44,1.16
HATS-54 b,HATS-54,2.5441765,11.37711541,239.3247905,1429,0.037,0,5621,1.23,1.05
HAT-P-29 b,HAT-P-29,5.723186,12.408,247.261,1260,0.0667,0.095,6087,1.224,1.207
K2-98 b,K2-98,10.1367349,5.06645928,34.00763955,1185,0.0986,0.119,6260,1.518,1.246
